id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;name_preprocessed
Windowgames_3317;System Shock 2;PC;Electronic Arts;1999-01-01;;Shooter,Role-playing (RPG);;;Irrational Games,Looking Glass Studios;;;;system shock 2
Windowgames_3318;Tabloid Tycoon;PC;ValuSoft,Global Software Publishing;2005-01-01;;Simulator,Strategy;;;ValuSoft;;;;tabloid tycoon
Windowgames_3319;Tabula Rasa;PC;NCsoft;2007-01-01;;Platform,Visual Novel;;;Destination Games;;;;tabula rasa
Windowgames_3320;Tachyon: The Fringe;PC;NovaLogic;2000-01-01;;Shooter,Simulator;;;NovaLogic;;;;tachyon the fringe
Windowgames_3321;Tactical Ops: Assault on Terror;PC;Infogrames;1999-01-01;;Shooter;;;Kamehan Studios;;;;tactical ops assault on terror
Windowgames_3322;Taito Legends;PC;Empire Interactive,Sega;2005-01-01;;Shooter,Platform,Arcade;;;Taito;;;;taito legends
Windowgames_3323;Taito Legends 2;PC;Empire Interactive,Destineer;2007-01-01;;Fighting,Shooter,Puzzle,Racing,Role-playing (RPG),Simulator,Sport,Strategy,Adventure,Arcade;;;Taito;;;;taito legends 2
Windowgames_3324;Take No Prisoners;PC;Red Orb Entertainment;1997-01-01;;Shooter;;;Raven Software;;;;take no prisoners
Windowgames_3325;Takeda;PC;Xicat Interactive,Inc.;2001-01-01;;"""Hack and slash/Beat em up"",Arcade";;;Magitech;;;;takeda
Windowgames_3326;A Tale in the Desert;PC;eGenesis;2003-01-01;;Point-and-click,Role-playing (RPG);;;eGenesis;;;;a tale in the desert
Windowgames_3327;A Tale of Two Kingdoms;PC;Crystal Shard;2007-01-01;;Point-and-click,Adventure,Indie;;;Crystal Shard;;;;a tale of two kingdoms
Windowgames_3328;Tales of Eternia Online;PC;Namco,Dwango;2006-01-01;;Role-playing (RPG);;;Namco,Dwango;;;;tales of eternia online
Windowgames_3329;Tales of Monkey Island;PC;Telltale Games;2009-01-01;;Point-and-click,Adventure;;;Telltale Games;;;;tales of monkey island
Windowgames_3330;Talvisota: Icy Hell;PC;Nival Interactive,Blitzfront Game Studio;2007-01-01;;Real Time Strategy (RTS),Strategy;;;Blitzfront Game Studio;;;;talvisota icy hell
Windowgames_3331;Tank Universal;PC;Meridian4;2008-01-01;;Shooter,Simulator,Indie;;;Dialogue Design;;;;tank universal
Windowgames_3332;Taptiles;PC;Microsoft Studios;2012-01-01;;Puzzle;;;Arkadium;;;;taptiles
Windowgames_3333;Tarr Chronicles;PC;Paradox Interactive,Akella,cdv Software;2007-01-01;;Simulator;;;Quazar Studio;;;;tarr chronicles
Windowgames_3334;Tasogare;PC;Aquaplus;2001-01-01;;Role-playing (RPG);;;Leaf;;;;tasogare
Windowgames_3335;Tasty Blue;PC;Dingo Games;2015-01-01;;Adventure,Indie,Arcade;;;Dingo Games;;;;tasty blue
Windowgames_3336;Team Fortress;PC;;1996-01-01;;Shooter;;;Team Fortress Software;;;;team fortress
Windowgames_3337;Team Fortress 2;PC;Valve;2007-01-01;;Shooter;;;Valve;;;;team fortress 2
