id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series
wikidata_id_61851;Collar x Malice -Unlimited-; Switch;;2018-07-26;;;;;;;Mature 17+;
wikidata_id_61852;Running with Rifles; PC;;2015-04-02;;;;;;;;
wikidata_id_61853;Blacksad: Under the Skin; Switch;;2019-01-01;;;;;;;Mature 17+;
wikidata_id_61857;UDraw Pictionary; PlayStation 3;;2010-11-14;;;;;;;Everyone;
wikidata_id_61860;Q24838178; PC;;2016-01-01;;;;;;;;
wikidata_id_61861;Layers of Fear: Inheritance; PC;;2016-01-01;;;;;;;;
wikidata_id_61863;Gormiti: The Lords of Nature; Wii;;2010-01-01;;;;;;;;
wikidata_id_61864;Cosmonautica; PC;;2015-07-31;;;;;;;;
wikidata_id_61866;FIFA 12; PlayStation 2;;2011-09-30;;;;;;;Everyone;FIFA
wikidata_id_61867;Nobunaga's Ambition: Souzou; PC;;2013-01-01;;;;;;;;
wikidata_id_61868;BioShock Infinite; Switch;;2012-01-01;;;;;;;Mature 17+;BioShock
wikidata_id_61869;Akiba's Trip: Undead & Undressed; PlayStation 3;;2014-07-03;;;;;;;;Akiba's Trip
wikidata_id_61871;Hakuoki: Edo Blossoms; PC;;2018-03-13;;;;;;;Mature 17+;Hakuōki
wikidata_id_61873;Wolfenstein II: The New Colossus; Xbox One;;2017-10-27;;;;;;;Mature 17+;Wolfenstein
