id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;name_preprocessed
PS4_id_5966;Flowers Are Dead;PlayStation 4;Sony Interactive Entertainment;2019-09-05;;Adventure;;;HALCYON Palace;;;;flowers are dead
PS4_id_5967;Flowers Are Dead (EU);PlayStation 4;HALCYON Palace;2020-02-27;;Adventure;;;HALCYON Palace;;;;flowers are dead eu
PS4_id_5968;Flowers by POWGI (Asia) (PS4);PlayStation 4;eastasiasoft;2021-10-29;;Puzzle;;;Lightwood Games;;;;flowers by powgi asia ps4
PS4_id_5969;Flowers by POWGI (PS4);PlayStation 4;Lightwood Games;2021-10-26;;Puzzle;;;Lightwood Games;;;;flowers by powgi ps4
PS4_id_5970;Flowers Shiki;PlayStation 4;Prototype;2019-03-07;;Collection,Visual Novel;;;Innocent Grey;;;;flowers shiki
PS4_id_5971;Fluster Cluck;PlayStation 4;LOOT Interactive;2014-10-21;;Action;;;LOOT Interactive;;;;fluster cluck
PS4_id_5972;Fluster Cluck (EU);PlayStation 4;LOOT Interactive;2014-10-22;;Action;;;LOOT Interactive;;;;fluster cluck eu
PS4_id_5973;Flutter Bombs;PlayStation 4;Earthborn Interactive;2019-07-16;;Shoot 'em up;;;Earthborn Interactive;;;;flutter bombs
PS4_id_5974;Flutter Bombs (EU);PlayStation 4;Earthborn Interactive;2019-09-24;;Shoot 'em up;;;Earthborn Interactive;;;;flutter bombs eu
PS4_id_5975;Fluxteria;PlayStation 4;Playstige Interactive;2020-05-19;;Shoot 'em up;;;Playstige Interactive;;;;fluxteria
PS4_id_5976;Fluxteria (EU);PlayStation 4;Playstige Interactive;2020-06-16;;Shoot 'em up;;;Playstige Interactive;;;;fluxteria eu
PS4_id_5977;Fly to KUMA;PlayStation 4;COLOPL;2016-10-13;;Puzzle;;;COLOPL;;;;fly to kuma
PS4_id_5978;Flying Bunny;PlayStation 4;Zepetto;2016-12-09;;Shoot 'em up;;;Zepetto;;;;flying bunny
PS4_id_5979;Flying Bunny (EU);PlayStation 4;Zepetto;2017-04-03;;Shoot 'em up;;;Zepetto;;;;flying bunny eu
PS4_id_5980;Flying Soldiers;PlayStation 4;WildSphere;2020-09-17;;Puzzle;;;WildSphere;;;;flying soldiers
PS4_id_5981;Flying Soldiers (EU);PlayStation 4;WildSphere;2020-09-17;;Puzzle;;;WildSphere;;;;flying soldiers eu
PS4_id_5982;Flynn And Freckles;PlayStation 4;Rookie Hero Games;2018-05-16;;Platformer;;;Rookie Hero Games;;;;flynn and freckles
