id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series
wikidata_id_34555;Uncharted 2: Among Thieves;PS4;;2009-10-13;;;;;;;Teen;Uncharted
wikidata_id_34556;F.E.A.R.;PC;;2005-10-18;;;;;;;Mature 17+;F.E.A.R.
wikidata_id_34557;WWE SmackDown vs. Raw 2009;PS3;;2008-11-09;;;;;;;Teen;WWE 2K
wikidata_id_34559;Gran Turismo 4;PS2;;2003-12-04;;;;;;;Everyone;Gran Turismo
wikidata_id_34562;Bratz Girlz Really Rock;DS;;2008-10-13;;;;;;;;
wikidata_id_34563;Hugo Bukkazoom!;PC;;2003-01-01;;;;;;;;
wikidata_id_34567;Kingdom Hearts;XOne;;2002-03-28;;;;;;;Everyone;Kingdom Hearts
wikidata_id_34568;DJ Hero;PS3;;2009-10-27;;;;;;;Teen;Guitar Hero
wikidata_id_34570;One Piece: Become the Pirate King!;WS;;2000-07-19;;;;;;;;list of One Piece video games
wikidata_id_34571;Driver 76;PSP;;2007-05-08;;;;;;;Mature 17+;Driver
wikidata_id_34572;Underground Fight Club;PC;;2007-04-05;;;;;;;;
wikidata_id_34573;Power Poke Dash;GBA;;2006-03-23;;;;;;;;
wikidata_id_34574;Eragon;X;;2006-11-14;;;;;;;;
wikidata_id_34575;Hugo Bukkazoom!;GBA;;2003-01-01;;;;;;;;
wikidata_id_34576;Eragon;PSP;;2006-11-14;;;;;;;;
wikidata_id_34577;Rise of the Argonauts;PS3;;2008-12-16;;;;;;;Mature 17+;
wikidata_id_34578;Metroid Prime;Wii;;2003-02-28;;;;;;;Teen;Metroid
wikidata_id_34579;Final Fantasy XII;XOne;;2006-03-16;;;;;;;Teen;Final Fantasy
wikidata_id_34582;Jet Set Radio;PC;;2000-06-29;;;;;;;Teen;Jet Set Radio
wikidata_id_34583;Planet Puzzle League;DS;;2007-04-26;;;;;;;;Puzzle League
wikidata_id_34585;Fatal Frame;PS2;;2001-12-13;;;;;;;Teen;Fatal Frame
wikidata_id_34586;Spider-Man: Friend or Foe;Wii;;2007-10-02;;;;;;;Everyone 10+;
wikidata_id_34587;World War II: Panzer Claws;PC;;2002-01-01;;;;;;;;
wikidata_id_34588;Mojib-Ribbon;PS2;;2003-11-20;;;;;;;;
wikidata_id_34589;Section 8;PC;;2009-09-04;;;;;;;Teen;
wikidata_id_34591;Syobon Action;PC;;2007-02-21;;;;;;;;
wikidata_id_34592;Ghostbusters: The Video Game;X360;;2009-06-16;;;;;;;Teen;Ghostbusters
wikidata_id_34593;Brothers in Arms: Road to Hill 30;Wii;;2005-03-01;;;;;;;Mature 17+;Brothers in Arms
wikidata_id_34594;Raiden IV;X360;;2007-06-07;;;;;;;Everyone 10+;Raiden
wikidata_id_34595;Spider-Man: Friend or Foe;PSP;;2007-10-02;;;;;;;Everyone 10+;
wikidata_id_34596;Transformers: Revenge of the Fallen;PS2;;2009-06-23;;;;;;;Teen;
wikidata_id_34598;Uncharted 2: Among Thieves;PS3;;2009-10-13;;;;;;;Teen;Uncharted
wikidata_id_34599;World Rally Championship (2005 video game);PSP;;2005-01-01;;;;;;;;World Rally Championship
wikidata_id_34600;Brothers in Arms: Road to Hill 30;X;;2005-03-01;;;;;;;Mature 17+;Brothers in Arms
wikidata_id_34601;Princess Maker 5;PS2;;2007-03-03;;;;;;;;Princess Maker
wikidata_id_34602;Jet Set Radio;GBA;;2000-06-29;;;;;;;Teen;Jet Set Radio
wikidata_id_34603;Ghostbusters: The Video Game;DS;;2009-06-16;;;;;;;Teen;Ghostbusters
wikidata_id_34604;Arabian Nights;PC;;2001-01-01;;;;;;;;
wikidata_id_34605;Q55664288;PC;;2004-01-01;;;;;;;;
wikidata_id_34606;Cabela's Dangerous Hunts 2009;PS3;;2008-09-23;;;;;;;Teen;
wikidata_id_34607;Hitman: Contracts;PS3;;2004-04-20;;;;;;;Mature 17+;Hitman
wikidata_id_34608;Online Bomberman;PC;;2004-10-28;;;;;;;;Bomberman
wikidata_id_34610;TV Tycoon;PC;;2001-07-09;;;;;;;;
wikidata_id_34611;Urban Yeti!;GBA;;2002-08-16;;;;;;;Teen;
wikidata_id_34612;Smarty Pants;Wii;;2007-11-13;;;;;;;;
wikidata_id_34614;Arkanoid DS;DS;;2008-06-17;;;;;;;;
wikidata_id_34615;My Horse and Me;DS;;2007-11-23;;;;;;;Everyone;
wikidata_id_34616;Gradius V;PS2;;2004-07-22;;;;;;;Teen;Gradius
wikidata_id_34619;Jet Set Radio;PSV;;2000-06-29;;;;;;;Teen;Jet Set Radio
wikidata_id_34620;Persona 4;PS2;;2008-07-10;;;;;;;Mature 17+;Persona
wikidata_id_34622;Yakuza 2;PS3;;2006-12-07;;;;;;;Mature 17+;Yakuza
wikidata_id_34623;SD Gundam: G Generation - Cross Drive;DS;;2007-01-01;;;;;;;;
wikidata_id_34624;Ghost Master;PS2;;2003-05-23;;;;;;;Teen;
wikidata_id_34625;Midway Arcade Treasures;PC;;2003-11-18;;;;;;;;
wikidata_id_34626;The Chronicles of Riddick: Assault on Dark Athena;X360;;2009-04-07;;;;;;;Mature 17+;
wikidata_id_34627;Conflict: Vietnam;PC;;2004-09-03;;;;;;;;Conflict
wikidata_id_34628;RHEM 3: The Secret Library;PC;;2008-02-28;;;;;;;Everyone;
wikidata_id_34629;War and Peace: 1796–1815;PC;;2002-08-29;;;;;;;;
wikidata_id_34630;Sheep;PC;;2000-11-06;;;;;;;;
wikidata_id_34632;Active Life: Outdoor Challenge;NSW;;2008-05-29;;;;;;;Everyone;
wikidata_id_34633;Red Dead Revolver;X;;2004-05-03;;;;;;;Mature 17+;Red Dead
wikidata_id_34634;Midway Arcade Treasures;GC;;2003-11-18;;;;;;;;
wikidata_id_34635;Steal Princess;DS;;2008-07-29;;;;;;;Everyone 10+;
